Capacity (mAh),Battery Health (%),Cycle Count,Voltage (V),Temperature ,Internal Resistance,Last Charge Date,Status
3000,90,150,3.7,35,80,11/25/2024,Good
2500,85,250,3.8,32,100,11/24/2024,Fair
4000,95,120,4,30,70,11/23/2024,Excellent
4500,78,300,3.9,38,120,11/22/2024,Needs Replacement
3200,88,180,3.6,33,90,11/21/2024,Good
2800,82,220,3.7,31,110,11/20/2024,Fair
5000,97,100,4.1,28,60,11/19/2024,Excellent
4200,80,275,3.8,36,105,11/18/2024,Fair
3400,87,160,3.7,34,85,11/17/2024,Good
3100,83,230,3.6,30,100,11/16/2024,Fair
3600,92,140,3.9,29,75,11/15/2024,Good
3900,79,280,3.7,37,115,11/14/2024,Needs Replacement
4100,96,110,4,28,65,11/13/2024,Excellent
2700,81,240,3.8,32,95,11/12/2024,Fair
3500,89,170,3.7,31,90,11/11/2024,Good
3000,76,310,3.6,39,125,11/10/2024,Needs Replacement
4800,94,130,4.1,29,70,11/9/2024,Excellent
2900,86,200,3.7,33,100,11/8/2024,Good
4300,82,260,3.8,35,95,11/7/2024,Fair
3100,91,150,3.9,30,80,11/6/2024,Good
